"image_link","surrounding_text"
"true","FS1 DEP
14-19 DEP
14-19"
"true","DEP CIN
18-15 CIN
18-15"
"true","FS1 UCF
17-16 UCF
17-16"
"true","UCF ORST
20-12 ORST
20-12"
"true","ESPN+ UNT
27-8 UNT
27-8"
"true","UNT UCI
31-6 UCI
31-6"
"true","FS1 VILL
19-14 VILL
19-14"
"true","VILL COLO
14-20 COLO
14-20"
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"true",""
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png",""
"https://a.espncdn.com/redesign/assets/img/logos/espnplus/ESPN+.svg","Espn plus logo"
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnhl.png&w=40&h=40",""
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a3.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbaseball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a3.espncdn.com/redesign/assets/img/icons/ESPN-icon-softball.png",""
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fufc.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://chui-assets-cdn.espn.com/94763d98-7ffb-43e9-8604-4c7a47ab2451.png",""
"https://chui-assets-cdn.espn.com/6b54cfdf-fd65-4ffb-b9a5-3671b6800a23.png",""
"https://a4.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnfl.png&w=40&h=40",""
"https://a4.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fnfl%2Ddraft.png&w=40&h=40",""
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Flogos%2Ficon-w2w-black.png&w=60&h=60&cquality=80&location=origin",""
"https://chui-assets-cdn.espn.com/7eb9b89c-e39c-4026-bf36-c3bd791bed1b.png",""
"https://chui-assets-cdn.espn.com/74ae8df4-feb8-47c1-93f0-a46621a023ec.png",""
"https://a1.espncdn.com/combiner/i?img=%2Fgames%2Flm%2Dstatic%2FBetting%2FBetting%2DHome.png&w=60&h=60&scale=crop&cquality=80&location=origin",""
"https://a4.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dlisten02.png&w=80&h=80&scale=crop&cquality=40&location=origin",""
