"image_link","surrounding_text","href"
"https://static.foxnews.com/static/orion/styles/img/fox-weather/s/icons/weather/32.svg","Sunny TRENDING
TRUMP TARIFFS","https://www.foxnews.com/#"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/55a5d3b2ab3924ec66bd119ca47d80de.jpg?tl=1&ve=1","Suspect arrested in governor's mansion attack, faces terrorism and attempted murder charges - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/1e54e9686e0ee6d83a18bae35acf7c7c.jpg?tl=1&ve=1","Banquet room - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/d1894ebcbbffc7867a8768d9d8049d95.png?tl=1&ve=1","Inside mansion - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/082f8bba5c7008fc92873fa9dd76714a.png?tl=1&ve=1","Sofa fire - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/605572422c5463246d70e740f5a9c911.png?tl=1&ve=1","Plates fire - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/53df89b8b3e1151f12eb1814850e7210.jpg?tl=1&ve=1","Arson kitchen - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/eb8288106beed9c45b5498bada74ab98.jpg?tl=1&ve=1","Passover sign - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/3d288849cb96b752f955a7b32dc72c98.jpg?tl=1&ve=1","Passover reading - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/6f57e4569bb80eff9f0b7628ee39dc7a.jpg?tl=1&ve=1","Center object - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/853ad9a605e96fd94b17968f4a0f70f4.jpg?tl=1&ve=1","Candles - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/720/405/c14167b8759dbdc77dddad15d3d9bbcc.png?tl=1&ve=1","Shapiro at window - Fox News IN CUSTODY IN CUSTODY","https://www.foxnews.com/us/pennsylvania-police-arrest-suspect-after-governors-mansion-set-fire-while-gov-josh-shapiro-family-slept"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/b0b22a451c195f32a2fc3a41f64e9ccf.jpg?tl=1&ve=1","Speaker Johnson makes position clear on possible tax hike on some Americans - Fox News 'MIKE' DROP 'MIKE' DROP","https://www.foxnews.com/media/speaker-mike-johnson-says-hes-no-big-fan-rumored-idea-raise-top-tax-rate"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/31c39bf26892fcf01bacfc1b56aaf668.jpg?tl=1&ve=1","Sparks fly on set as Maher gets in heated clash with columnist over Trump dinner - Fox News 'TRIBAL FURY' 'TRIBAL FURY'","https://www.foxnews.com/media/washington-post-columnist-clashes-bill-maher-falling-trap-talking-trump"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/trumphines.png?tl=1&ve=1","Viral video of Trump allegedly snubbing actress Cheryl Hines does not show full picture - Fox News BENEFIT OF 'HINES'IGHT BENEFIT OF 'HINES'IGHT","https://www.foxnews.com/politics/video-trump-allegedly-snubbing-actress-cheryl-hines-spreads-like-wildfire-doesnt-show-full-picture"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/d7e807112f537ac23bd68e0dd7a5f2cd.jpg?tl=1&ve=1","McIlroy overcomes sudden-death playoff to win green jacket, complete Grand Slam - Fox News 'MASTERS' CLASS 'MASTERS' CLASS","https://www.foxnews.com/sports/rory-mcilroy-beats-justin-rose-masters-playoff-win-green-jacket-complete-grand-slam"
