"image_link","surrounding_text","href"
"https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x81108","Logo 785-864-2787
HOME
ABOUT
EVENTS
TICKETS
ENGAGEMENT
SUPPORT
RENTALS","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x81108","Logo 785-864-2787
HOME
ABOUT
EVENTS
TICKETS
ENGAGEMENT
SUPPORT
RENTALS","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2021/07/SSC-logo-wht-1.png","Monday | APR 14 | 7:30pm HADESTOWN
Monday | APR 14 | 7:30pm
Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm
Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm
Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm
THE CHER SHOW
Wednesday | APR 23 | 7:30pm
The Moth Mainstage
Friday | APR 25 | 7:30pm
Black Violin
Tuesday | MAY 6 | 7:30pm
SEE FULL LIED CENTER SERIES
BUY TICKETS ONLINE
Lied Center of Kansas
Lied Center of Kansas
1600 Stewart Drive, Lawrence KS

Ticket Office
Weekdays: 11 am–5:30 pm
785-864-2787

Performance Day
Open at least one hour prior to all ticketed performances.

Administrative Office
785-864-3469
Email: lied@ku.edu
Weekdays, 9 am–5 pm
Ticket Packages
Directions/Parking
Virtual Tour
Plan Your Visit",""
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-logo.png","HADESTOWN
Monday | APR 14 | 7:30pm
Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm
Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm
Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm
THE CHER SHOW
Wednesday | APR 23 | 7:30pm
The Moth Mainstage
Friday | APR 25 | 7:30pm
Black Violin
Tuesday | MAY 6 | 7:30pm
SEE FULL LIED CENTER SERIES
BUY TICKETS ONLINE
Lied Center of Kansas
Lied Center of Kansas
1600 Stewart Drive, Lawrence KS

Ticket Office
Weekdays: 11 am–5:30 pm
785-864-2787

Performance Day
Open at least one hour prior to all ticketed performances.

Administrative Office
785-864-3469
Email: lied@ku.edu
Weekdays, 9 am–5 pm
Ticket Packages
Directions/Parking
Virtual Tour
Plan Your Visit",""
"https://lied.ku.edu/wp-content/uploads/2022/04/Presbyterian-Manor-logo-horz-wht.png","HADESTOWN
Monday | APR 14 | 7:30pm
Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm
Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm
Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm
THE CHER SHOW
Wednesday | APR 23 | 7:30pm
The Moth Mainstage
Friday | APR 25 | 7:30pm
Black Violin
Tuesday | MAY 6 | 7:30pm
SEE FULL LIED CENTER SERIES
BUY TICKETS ONLINE
Lied Center of Kansas
Lied Center of Kansas
1600 Stewart Drive, Lawrence KS

Ticket Office
Weekdays: 11 am–5:30 pm
785-864-2787

Performance Day
Open at least one hour prior to all ticketed performances.

Administrative Office
785-864-3469
Email: lied@ku.edu
Weekdays, 9 am–5 pm
Ticket Packages
Directions/Parking
Virtual Tour
Plan Your Visit",""
"https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-white.png","HADESTOWN
Monday | APR 14 | 7:30pm
Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm
Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm
Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm
THE CHER SHOW
Wednesday | APR 23 | 7:30pm
The Moth Mainstage
Friday | APR 25 | 7:30pm
Black Violin
Tuesday | MAY 6 | 7:30pm
SEE FULL LIED CENTER SERIES
BUY TICKETS ONLINE
Lied Center of Kansas
Lied Center of Kansas
1600 Stewart Drive, Lawrence KS

Ticket Office
Weekdays: 11 am–5:30 pm
785-864-2787

Performance Day
Open at least one hour prior to all ticketed performances.

Administrative Office
785-864-3469
Email: lied@ku.edu
Weekdays, 9 am–5 pm
Ticket Packages
Directions/Parking
Virtual Tour
Plan Your Visit",""
"https://lied.ku.edu/wp-content/uploads/2022/04/JimVickie-Otten-wht.png","HADESTOWN
Monday | APR 14 | 7:30pm
Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm
Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm
Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm
THE CHER SHOW
Wednesday | APR 23 | 7:30pm
The Moth Mainstage
Friday | APR 25 | 7:30pm
Black Violin
Tuesday | MAY 6 | 7:30pm
SEE FULL LIED CENTER SERIES
BUY TICKETS ONLINE
Lied Center of Kansas
Lied Center of Kansas
1600 Stewart Drive, Lawrence KS

Ticket Office
Weekdays: 11 am–5:30 pm
785-864-2787

Performance Day
Open at least one hour prior to all ticketed performances.

Administrative Office
785-864-3469
Email: lied@ku.edu
Weekdays, 9 am–5 pm
Ticket Packages
Directions/Parking
Virtual Tour
Plan Your Visit",""
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-hadestown-feature2.jpg?x81108","HADESTOWN
Monday | APR 14 | 7:30pm","https://lied.ku.edu/?event=hadestown&event_date=2025-04-14%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-feature.jpg?x81108","HADESTOWN
Monday | APR 14 | 7:30pm Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm","https://lied.ku.edu/?event=paul-taylor-dance-2025&event_date=2025-04-16%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x81108","Paul Taylor Dance Company
Wednesday | APR 16 | 7:30pm Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm","https://lied.ku.edu/?event=sullivan-fortner-jfjs-mon&event_date=2025-04-21%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x81108","Sullivan Fortner, solo piano
Monday | APR 21 | 7:30pm Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm","https://lied.ku.edu/?event=sullivan-fortner-jfjs-tue&event_date=2025-04-22%2019:30"
"https://lied.ku.edu/wp-content/uploads/2023/06/2425-cher-show-feature.jpg?x81108","Sullivan Fortner, solo piano
Tuesday | APR 22 | 7:30pm THE CHER SHOW
Wednesday | APR 23 | 7:30pm","https://lied.ku.edu/?event=cher-show&event_date=2025-04-23%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-moth-2025-feature.jpg?x81108","THE CHER SHOW
Wednesday | APR 23 | 7:30pm The Moth Mainstage
Friday | APR 25 | 7:30pm","https://lied.ku.edu/?event=moth-2025&event_date=2025-04-25%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-black-violin-2025-feature2.jpg?x81108","The Moth Mainstage
Friday | APR 25 | 7:30pm Black Violin
Tuesday | MAY 6 | 7:30pm","https://lied.ku.edu/?event=black-violin-2025&event_date=2025-05-06%2019:30"
"https://lied.ku.edu/wp-content/uploads/2024/05/2425-Derek-web.jpg?x81108","","https://lied.ku.edu/wp-content/uploads/2018/04/Derek-2018-web.jpg?x81108"
"https://lied.ku.edu/wp-content/uploads/2019/05/fotl-horz-blue.png?x81108","",""
"https://lied.ku.edu/wp-content/uploads/2024/05/2425-Mailer-cover-660x440-1-300x200.png?x81108","","https://lied.ku.edu/brochure/"
"https://lied.ku.edu/wp-content/uploads/2018/08/beyond-the-stage-hero-2-e1533308236651-300x148.jpg?x81108","","https://lied.ku.edu/about-beyond-the-stage/"
"https://lied.ku.edu/wp-content/uploads/2024/05/beckmeisters-gray.png?x81108","","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2021/12/BHE-Ready-gray.png?x81108","","https://www.blackhillsenergy.com/"
"https://lied.ku.edu/wp-content/uploads/2017/04/Bridge-Haven-gray.png?x81108","","http://mybridgehaven.com/"
"https://lied.ku.edu/wp-content/uploads/2017/04/Cherry-Hill-gray.png?x81108","","https://www.cherryhillproperties.net/"
"https://lied.ku.edu/wp-content/uploads/2014/10/Edmond-Duncan-gray.png?x81108","","http://www.edmondsduncan.com/"
"https://lied.ku.edu/wp-content/uploads/2016/05/Steve-Edmonds-only-gray.png?x81108","","http://www.edmondsduncan.com/"
"https://lied.ku.edu/wp-content/uploads/2018/04/ENT-logo-gray.png?x81108","","https://www.lawoto.com/"
"https://lied.ku.edu/wp-content/uploads/2015/04/jack-gaumnitz.png?x81108","","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2022/05/Hertzog-gray.png?x81108","","https://lawrencebusinessmagazine.com/"
"https://lied.ku.edu/wp-content/uploads/2021/08/2122-Hiebert-gray.png?x81108","","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2015/03/hyvee.png?x81108","","https://www.hy-vee.com/"
"https://lied.ku.edu/wp-content/uploads/2022/05/BudSheryl-Jacobs-gray.png?x81108","","https://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-gray.png?x81108","","https://kansaspublicradio.org/"
"https://lied.ku.edu/wp-content/uploads/2024/05/kastl-gray.png?x81108","","https://www.kastlplumbinginc.com/"
"https://lied.ku.edu/wp-content/uploads/2024/05/Landmark-gray3.png?x81108","","https://www.banklandmark.com/"
"https://lied.ku.edu/wp-content/uploads/2020/09/Presyterian-Manor-gray.png?x81108","","https://www.lawrencepresbyterianmanor.org/"
"https://lied.ku.edu/wp-content/uploads/2022/05/LMH-Health-gray.png?x81108","","https://www.lmh.org/"
"https://lied.ku.edu/wp-content/uploads/2015/03/marlan1-e1425594920871.png?x81108","","https://www.marlanconstruction.com/"
"https://lied.ku.edu/wp-content/uploads/2019/05/McDonalds-Dobskis-gray.png?x81108","","http://www.archpowered.com/kansas/"
"https://lied.ku.edu/wp-content/uploads/2014/10/Midco-gray.png?x81108","","https://www.midco.com/"
"https://lied.ku.edu/wp-content/uploads/2017/04/Natural-Breeze-gray.png?x81108","","http://www.naturalbreeze.com/"
"https://lied.ku.edu/wp-content/uploads/2022/05/JimVickie-Otten-gray.png?x81108","","http://lied.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2024/05/PrairieLandInsurance-gray3.png?x81108","","https://www.prairielandgroup.com/"
"https://lied.ku.edu/wp-content/uploads/2018/04/RCB-Bank-logo-gray.png?x81108","","https://rcbbank.com/"
"https://lied.ku.edu/wp-content/uploads/2024/07/SignatureDental-gray3.png?x81108","","https://signaturedentaloflawrence.com/"
"https://lied.ku.edu/wp-content/uploads/2024/05/SSC-gray2.png?x81108","","https://www.ssccpas.com/"
"https://lied.ku.edu/wp-content/uploads/2015/03/studentsenate.png?x81108","","https://studentsenate.ku.edu/"
"https://lied.ku.edu/wp-content/uploads/2015/03/truity1-e1425594973304.png?x81108","","https://www.truitycu.org/"
"https://lied.ku.edu/wp-content/uploads/2018/04/Weinberg-logo-gray.png?x81108","","https://lied.ku.edu/"
"http://lied.ku.edu/wp-content/uploads/2019/07/KUlogoREV-1-e1564611721552.gif?x81108","http://ku.edu Weekdays: 11 am–5:30 pm
785-864-2787
Google Map
1600 Stewart Drive
Lawrence, KS 66045
E-Newsletter Sign-up At the University of Kansas
Lawrence, KS
ku.edu HELPFUL LINKS
Plan Your Visit
Directions/Parking
View Full Season
Technical Specs
Work at the Lied Center
SUA Partnership with the Lied
Nondiscrimination Statement","http://ku.edu/"
